a.  un; una .  
repellent. repelente; repugnante; repulsivo . 
repent. arrepentirse . 
repentance. arrepentimiento . 
repentant. arrepentidorepercussion. repercusi n . 
repertoire. repertorio . 
repertory. repertorio . 
repetition. repetici n . 
repetitious. repetitivo . 
repetitive. repetitivo . 
rephrase. expresardeotramanera . 
repine. quejarse; afligirse; lamentarse . 
replace. reemplazar; cambiar; sustituir; volveraponer . 
replacement. sustituto; recambio; repuesto . 
 . 
replay. partidodedesempate; repetici ndelajugada; desempatar; volveraponer . 
replenish. reaprovisionar; rellenar; reponer; repostar . 
replete. lleno . 
repletion. saciedad . 
replica. r plica . 
reply. respuesta; contestaci n; responder; contestar . 
report. informe; relaci n; reportaje; rumor; estallido; explosi n; informar; presentarse; relatar . 
reporter. reportero; periodista . 
repose. reposo; reposar . 
repository. dep sito; almac n . 
repossess. recobrar . 
repossession. recuperaci n . 
reprehensible. reprensible . 
represent. representar . 
representation. representaci n . 
representative. representativo; representante; diputado . 
repress. reprimir . 
repressed. reprimido . 
repression. represi n . 
repressive. represivo . 
reprieve. respirotemporal; indulto; suspensi n; suspenderlapena . 
reprimand. reprimenda; reprender . 
reprint. reimpresi n; copia; reimprimir; hacerunacopiade . 
reprisal. represalia . 
reprivatize. reprivatizar . 
reproach. reproche; reprochar . 
reproachful. dereproche . 
reprobate. libertino; r probo . 
reproduce. reproducir . 
reproduction. reproducci n . 
reproductive. reproductor . 
reproof. reprobaci n . 
reprove. reprender . 
reproving. reprobatorio . 
reptile. reptil . 
reptilian. dereptil . 
republic. rep blica . 
republican. republicano . 
repudiate. negar; repudiar . 
repudiation. negaci n; rechazo; repudio . 
repugnance. repugnancia; repulsi n . 
repugnant. repugnante . 
repulse. rechazo; rechazar; repeler . 
repulsion. repulsi n . 
repulsive. repulsivo . 
reputable. deconfianza; prestigioso . 
reputation. renombre; reputaci n; fama . 
repute. fama; reputaci n . 
reputed. supuesto; presunto; considerado . 
reputedly. seg nsedice . 
request. demanda; ruego; petici n; solicitar; pedir; rogar . 
 . 
requiem. r quiem . 
require. requerir; exigir; necesitar . 
requirement. requerimiento; requisito . 
requisite. requisito; necesario . 
requisition. solicitud; requisar . 
requital. compensaci n; satisfacci n . 
requite. pagar; devolver; corresponder; compensar; pagarconlamismamoneda . 
rerun. reposici n; repetici n; reponer; repetir . 
rescue. rescate; rescatar; salvar . 
rescuer. salvador . 
research. investigaci n; investigar . 
researcher. investigador . 
resemblance. semejanza; parecido . 
resemble. parecerse; asemejarse . 
resent. ofender; resentir; tomaramal . 
resentful. resentido . 
resentment. resentimiento . 
reservation. reserva . 
reserve. reserva; reservar . 
reserved. reservado; retra do . 
reservoir. embalse; reserva . 
reset. reajustar; reiniciar . 
reshape. darforma . 
reshuffle. reorganizaci ndelgobierno; reorganizar; volverabarajar . 
reside. residir; encontrarse . 
residence. residencia; permanencia . 
resident. residente; interno; vecino . 
residential. residencial . 
residual. residual . 
residue. residuo; resto; saldo; super vit . 
resign. resignar; dimitir . 
resignation. resignaci n; dimisi n; renuncia . 
resigned. resignado . 
resilience. adaptaci n; elasticidad; resistencia; aguante; entereza; flexibilidad; animaci n . 
resilient. el stico; resistente . 
resin. resina . 
resinous. resinoso . 
resist. resistir . 
resistance. resistencia . 
resistant. resistente . 
resistor. resistencia . 
resit. examenderecuperaci n; volverapresentarse; volveraexaminarse . 
resolute. resuelto; decidido . 
resolution. resoluci n; decisi n . 
resolve. resoluci n; resolver . 
resonance. resonancia . 
resonant. resonante . 
resort. playa; reuni n; recurso; medio; refugio; lugardereuni n; lugardedescanso; acudir; frecuentar; apelar; recurrir . 
resound. resonar; retumbar . 
resounding. retumbante; rotundo . 
 . 
resource. recurso; expediente; ingenio . 
resourceful. ingenioso . 
resourcefulness. inventiva; iniciativa . 
respect. estimaci n; respeto; reverencia; respetar . 
respectability. respetabilidad . 
respectable. respetable; decente . 
respectful. respetuoso . 
respective. respectivo . 
respiration. respiraci n . 
respiratory. respiratorio . 
respite. respiro; dilaci n; tregua; descanso; plazo; pr rroga . 
resplendent. deslumbrante; resplandeciente . 
respond. responder . 
response. respuesta; reacci n . 
responsibility. responsabilidad . 
responsible. responsable . 
responsive. queseinteresa . 
responsiveness. reacci n . 
rest. descanso; resto; descansar . 
restaurant. restaurante . 
restaurateur. restaurador . 
restful. reposado; relajante . 
restitution. restituci n . 
restive. inquieto; intranquilo . 
restless. inquieto . 
restlessness. inquietud; descontento . 
restock. reaprovisionar; repoblar . 
restoration. devoluci n; restauraci n . 
restorative. reconstituyente . 
restore. restaurar; restablecer; devolver; recuperar . 
restorer. t nicocapilar; restaurador . 
restrain. moderado; contener; controlar; impedir . 
restrained. comedido; sobrio . 
restraint. moderaci n; restricci n . 
restrict. limitar; restringir . 
restriction. restricci n . 
restrictive. restrictivo . 
restyle. cambiar . 
result. consecuencia; resultado; resultar . 
resultant. resultante . 
resume. continuar; reanudar; volvera . 
r sum . resumen; curr culum . 
resumption. reanudaci n; continuaci n . 
resurgence. resurgimiento . 
resurgent. resurgente . 
resurrect. resucitar . 
resurrection. resurrecci n . 
resuscitate. resucitar; reanimar . 
resuscitation. resucitaci n; reanimaci n . 
retail. ventaalpormenor; venderalpormenor . 
retailer. minorista; detallista; revendedor . 
 . 
retain. emplear; retener . 
retainer. anticipo; dep sito; se al; cuota; criado; partidario . 
retake. examenderecuperaci n; nuevatoma; volverapresentarse; volveraexaminarse; volverarodar . 
retaliate. desquitarse; tomarrepresalias; contraatacar . 
retaliation. desquite; venganza; represalia; respuesta . 
retaliatory. vengativo . 
retarded. retrasado . 
retch. arcadas; vomitar . 
retention. retenci n . 
retentive. retentivo . 
rethink. volverapensar; reconsiderar . 
reticence. reticencia . 
reticent. reticente . 
reticule. ret culo; rid culo . 
retina. retina . 
retinue. s quito; acompa amiento . 
retire. jubilar; jubilarse; retirarse . 
retired. jubilado . 
retirement. retiro; jubilaci n . 
retiring. retra do . 
retort. r plicamordaz; retorta . 
retrace. volversobrelospasos . 
retract. encogerse; retraer; replegar; retractarse . 
retraction. retracci n; repliegue; retractaci n . 
retractor. m sculooinstrumentopararetiraroapartar . 
retread. recauchutado . 
retreat. retirada; retiro; retirarse; tobeata . 
retreat. emprenderlaretirada . 
retrench. economizar . 
retrial. nuevojuicio . 
retribution. castigo . 
retrieval. reparaci n; recuperaci n . 
retrieve. recobrar; recuperar; salvar; rehacer . 
retriever. perdiguero; perrocobrador . 
retroaction. retroacci n . 
retrograde. retr grado . 
retrogress. retroceder . 
retrogression. retroceso . 
retrospective. retrospectivo; retroactivoretrouss . 
nose. narizrespingona . 
return. regreso; vuelta; billetedeidayvuelta; devoluci n; resto; cambio; ganancia; beneficio; regresar; volver; devolver; restar; agradecer; reelegir . 
returnable. retornable . 
reunion. reencuentro . 
reunite. reunir . 
rev. revoluci n; girar(elmotor); acelerar . 
revaluation. revalorizaci n . 
revalue. revalorizar . 
revamp. renovar; modernizar; rehacer; refundir . 
reveal. manifestar; revelar; mostrar . 
revealing. revelador; atrevido . 
 . 
revel. jarana; diversi n; fiesta; regocijarserevel . 
in. deleitarse; gozar . 
revelation. revelaci n . 
reveller. juerguista; calavera; borracho . 
revelry. jolgorio; juerga . 
revenant. aparecido; espectro . 
revenge. venganzarevenue, . 
revenues. ingresos . 
rever. solapa . 
reverberate. retumbar; resonar . 
reverberation. resonancia . 
revere. venerar; reverenciar . 
reverence. reverencia . 
reverend. reverendo . 
reverent. reverente . 
reverie. fantas a; ensue o . 
reversal. cambiocompleto; revocaci n . 
reverse. contrario; marchaatr s; reverso; rev s; inverso; darmarchaatr s; invertir; cambiar; revocar . 
reversible. reversible . 
reversion. reversi n; inversi n; cambioensentidoopuesto; saltoatr s . 
revert. regresar; volveratr s; revertir; retroceder . 
revet. revestir . 
revetment. revestimiento . 
review. rese a; cr tica; revista; estudio; examen; hacerunacr tica; examinar; pasarrevista . 
reviewer. cr tico . 
revile. ultrajar; injuriar; vilipendiar; insultar . 
revise. revisar; modificar; cambiar; repasar . 
revision. revisi n; modificaci n; cambio; repaso . 
revisit. volveravisitar . 
revitalization. revitalizaci n . 
revitalize. revitalizar . 
revival. recuperaci n; resurgimiento; reestreno; resucitaci n; reanimaci n . 
reviver. revivir; reavivar; resucitar; reestrenar; reanimar . 
revoke. revocar . 
revolt. rebeli n; revuelta; sublevarse; sentirasco . 
revolting. chocante; repelente; repugnante; asqueroso; horrible . 
revolution. revoluci n; vuelta . 
revolutionary. revolucionario . 
revolutionize. revolucionar . 
revolve. girar . 
revolver. rev lver . 
revue. revista . 
revulsion. repulsi n; asco . 
reward. recompensa; merecer; recompensar . 
rewarding. gratificante . 
rewind. rebobinar . 
rewire. cambiarlainstalaci nel ctrica . 
rewound. pasadoyparticipiopasadoderewind . 
rewrite. volveraescribir; reescribir . 
rhapsody. rapsodia . 
 . 
rhea.  and . 
rhenish. delrin . 
rheostat. re stato . 
rhesus. rh . 
rhetoric. ret rica . 
rhetorical. ret rico . 
rheumatic. reum tico . 
rheumatism. reumatismo . 
rhine. rin . 
rhinestone. diamantedeimitaci nrhino, . 
rhinoceros. rinoceronte . 
rhododendron. rododendro . 
rhombus. rombo . 
rhubarb. ruibarbo . 
rhyme. rima; rimar; norhymeor . 
reason. sintonnison . 
rhythm. ritmo . 
rhythmic. r tmico . 
rhythmical. r tmico . 
rib. costilla; surco; tomarelpelo; mofarsede . 
ribald. verde; obsceno; escabroso; canalla . 
riband. cinta . 
ribaud. ribald . 
ribbed. quetienerebordes . 
ribbing. canal . 
ribbon. cinta . 
ribcage. cajator cica; t rax . 
ribwort. yerbajocom ndehojasestrechasconsurcosycabezuelasmarrones . 
rice. arroz . 
rich. rico; vivo; sonoro . 
richness. lujo; exquisitez; fertilidad; riqueza; viveza; abundancia . 
rick. almiar; torcerse . 
rickets. raquitismo . 
rickety. desvencijado . 
rickrack. rellenar . 
rickshaw. carritoarrastradoporunapersona . 
ricochet. rebote; rebotar . 
rid. librar; desembarazar; get . 
rid. librarse . 
riddance. good . 
riddance. veteconvientofresco; goodriddanceto . 
him. quesepudra; it'sgoodriddancetobad . 
swill. veteconvientofresco . 
ridden. participiopasadoderide . 
riddle. enigma; acertijo; adivinanza; acribillar; riddled . 
with. llenode . 
ride. cabalgata; paseo; irencoche; montarride . 
out. capearride . 
up. subirse . 
rider. jinete; amazona; motociclista; ciclista; condici n . 
ridge. cerro; cordillera; sierra; cima; cresta; arista; arruga; cordoncillo; caballete; lomoentredossurcos . 
ridgepole. parhilera; maderoenqueseafirmanlosparesyformaellomodelaarmadura . 
ridicule. rid culo; ridiculizar; burlarsede . 
ridiculous. rid culo . 
riding. equitaci n . 
 . 
rife. extendido; abundante; tobe . 
rife. abundar; sermuycom n . 
rifle. rifle . 
riffle. hojearr pidamente . 
riffraff. gentuza; chusma . 
rifle. rifle; fusil; robar; saquear; revolver . 
rifling. estr a . 
rift. grieta; desavenencia . 
rig. maquinaria; carruajedecaballos; aparejo; atuendo; plataformapetrol fera; torredeperforaci n; ama ar; falsificarrig . 
up. arreglar; preparar; improvisar . 
rigging. aparejo; equipo; instrumentos . 
right. derecho; correcto; bien; bueno; justo . 
right-about. tosendtothe . 
right-about. mandarapaseo . 
righteous. justo; honrado; recto . 
righteousness. rectitud . 
rightful. leg timo . 
right-hand. derecho . 
rightly. justamente . 
rigid. r gido; estricto; duro . 
rigidity. rigidez . 
rigmarole. galimat as; foll n; l o; papeleo . 
rigor. rigor . 
rigorous. riguroso . 
rigour. rigor . 
rile. reventar; sacardequicio; irritar . 
rill. arroyo; riachuelo . 
rim. borde; margen; llanta; montura; armaz n . 
rime. escarcha . 
rimy. helado; cubiertodeescarcha . 
rind. corteza; c scara; piel . 
ring. anillo; aro; c rculo; pista; hornillo; quemador; c rtel; ojera; corro; red; cuadril tero; ruedo; toque; tocar; marcarconunc rculo; anillar; resonar; sonar; llamarportel fono; tohavetheringsoftruthabout . 
it. tenertrazasdeserverdadring . 
back. volverallamar; devolverlallamadaring . 
off. colgarring . 
out. resonarring . 
up. llamarportel fono . 
ring-a-ring-a-rose. corro . 
ringbolt. pernoconanillo . 
ringer. dead . 
inger. vivaimagen . 
ringleader. cabecilla . 
ringlet. bucle; tirabuz n . 
ringmaster. maestrodeceremonias . 
ringside. cuadril tero; primerafila . 
ring-worm. ti a . 
rink. pista . 
rinky-dink. inconsecuente; amateur; deinferiorcalidad; depocamonta; anticuado . 
rinse. reflejo; tinte; enjuague; aclarado; enjuagar; aclarar . 
riot. alboroto; mot n; disturbio; sublevaci n; armar; serexuberante; itwasa . 
riot. fuedivertid simo; fuelamonda; toreadsomebodytheriot . 
act. leerlacartillaaalguien . 
rioter. alborotador; amotinado . 
 . 
rioting. desordenado . 
riotous. desordenado; bullicioso; tumultuoso; alborotado; desenfrenado; muydivertido . 
rip. brib n; rasg n; hendedura; romper; abrir; sondear; descubrir; cortar; arrancar; rasgarrip . 
off. timar; estafarrip . 
up. romper; desgarrar . 
ripcord. cabodedesgarre; cord ndeapertura . 
ripe. rosado; colorado; maduro; madurar . 
ripen. madurar . 
rip-off. timo; estafa . 
riposte. r plicaorespuestaaguda; estocada . 
ripping. estupendo . 
ripple. murmullo; rizo; onda; ondear; rizarse . 
riptide. aguasrevueltas . 
rise. aumento; levantamiento; nacimiento; subida; levantarse; subir; aumentar; ascender . 
risen. participiopasadoderise . 
riser. tuboascendente . 
rising. enaumento; enalza; enpendiente; creciente; naciente . 
risk. peligro; riesgo; arriesgar . 
risky. arriesgado; peligroso . 
risotto. platodearrozconverdurasocarne . 
risqu . picante; subidodetono; atrevido . 
rissole. croqueta . 
rite. rito . 
ritual. ritual . 
ritzy. lujoso . 
rival. competidor; rival; adversario; rivalizar; competircon . 
rivalry. competencia; rivalidad . 
rive. rajar; hender . 
riven. rajado; hendido . 
river. r o . 
riverbed. lecho; cauce . 
riverine. fluvial; ribere o . 
riverside. ribera; margen . 
rivet. remache; fijar; absorber; afianzar; remachar; clavar; fascinar . 
riveting. fascinante; cautivador . 
rivulet. riachuelo; arroyo . 
